Location,Clubname,League,Latitude,Longitude,Address,Facility_Type,Size
Bushy,Ranelagh Gaels,Gaelic Athletic Association,53.3021198,-6.29144609073588,"Bushy Park, Terenure, Terenure D Ed, Dublin 6W, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Bushy,Kevins Hurling Club,Gaelic Athletic Association,53.3021198,-6.29144609073588,"Bushy Park, Terenure, Terenure D Ed, Dublin 6W, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Donaghmede,Trinity Gaels,Gaelic Athletic Association,53.3948612,-6.1635775,"Donaghmede, Grange C Ed, Dublin 13, Dublin, County Dublin, Leinster, Dublin 13, Ireland",Soccer,nan
Donnycarney,Craobh Chiarain,Gaelic Athletic Association,53.3746929,-6.2197423,"Donnycarney, Grace Park Ed, Dublin 5, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Ellenfield,Whitehall Colmcille,Gaelic Athletic Association,53.3857502,-6.24044188934477,"Ellenfield Park, Clonturk, Whitehall D Ed, Dublin 9, Dublin, County Dublin, Leinster, Ireland",Soccer,nan
Fairview,St. Vincents G.A.A,Gaelic Athletic Association,53.3628457,-6.2366557,"Fairview, Clontarf West D Ed, Dublin 3, Dublin, County Dublin, Leinster, D03 Dc92, Ireland",Soccer,nan
Fairview,Scoil Ui Chonaill,Gaelic Athletic Association,53.3628457,-6.2366557,"Fairview, Clontarf West D Ed, Dublin 3, Dublin, County Dublin, Leinster, D03 Dc92, Ireland",Soccer,nan
Fairview,St. Josephs/O'Connell Boys,Gaelic Athletic Association,53.3628457,-6.2366557,"Fairview, Clontarf West D Ed, Dublin 3, Dublin, County Dublin, Leinster, D03 Dc92, Ireland",Soccer,nan
Farnham,Erins Isle G.A.A.,Gaelic Athletic Association,53.3840936,-6.3003502,"Farnham Drive, Finglas East, Finglas South B Ed, Dublin 11, Dublin, County Dublin, Leinster, D11 K254, Ireland",Soccer,nan
Fr. Collins,Trinity Gaels,Gaelic Athletic Association,0.0,0.0,0,Soccer,nan
Galtymore,Good Counsel G.A.A.,Gaelic Athletic Association,53.3344399,-6.3044476,"Galtymore Road, Goldenbridge South, Crumlin B Ed, Dublin 12, Dublin, County Dublin, Leinster, Dublin 8, Ireland",Soccer,nan
John Paul,Naomh Fionnbarra,Gaelic Athletic Association,53.3631256,-6.2361861,"John Paul Photography Ltd, 9, Fairview, Ballybough, Clontarf West D Ed, Dublin 3, Dublin, County Dublin, Leinster, D03 Ya26, Ireland",Soccer,nan
